time,dilution,blank,alpha,beta,gamma,epsilon,zeta,eta
0,1,0.00577405893333333,0.0909736773333333,0.105827232,0.143057749333333,0.11339046,0.111905354666667,0.0966383506666667
47,10,0.00520048906666667,0.042309866,0.0347061066666667,0.0501395838666667,0.0252190546666667,0.025304912,0.022880896
96,10,0.00314967361066667,0.124871014666667,0.121040324,0.139040448,0.0738760133333333,0.085115484,0.084123328
146,10,0.0051856832,0.212086066666667,0.20983628,0.240421493333333,0.166431293333333,0.16537612,0.17413856
218,10,0.0156070508,0.30673288,0.298602093333333,0.35825204,0.304047946666667,0.225173597333333,0.290722333333333
288,100,0.00583443898666667,0.056505296,0.0643240973333333,0.0616129933333333,0.059616292,0.0640348133333333,0.0565751893333333
384,100,0.00511957825333333,0.0832334973333333,0.079128232,0.0782374733333333,0.100101649333333,0.081827332,0.08992714
456,100,0.0046490108,0.067240448,0.0505168864,0.0661713826666667,0.076857928,0.0881996893333333,0.129491277333333
